time,no1_el,no2_el,no3_el,no4_el,no1_rt,no2_rt,no3_rt,no4_rt,abs
2018-07-23 AM 12:00,61.71,63.88,63.90,49.58,1022.82,959.81,989.54,698.32,4.3
2018-07-23 AM 1:00,61.69,63.96,65.72,49.60,1032.25,972.69,1018.76,699.46,4.49
2018-07-23 AM 2:00,61.47,63.57,66.03,48.80,1026.70,977.70,1019.58,686.88,4.41
2018-07-23 AM 3:00,60.88,62.94,63.41,47.55,1014.96,958.01,988.41,668.27,4.22
2018-07-23 AM 4:00,59.24,62.83,61.37,45.97,990.37,953.41,965.24,660.34,3.6
2018-07-23 AM 5:00,59.62,63.00,61.80,48.30,1001.73,963.64,975.02,689.85,3.59
2018-07-23 AM 6:00,59.85,63.10,63.24,49.58,1005.09,964.17,992.44,698.01,3.58
2018-07-23 AM 7:00,60.07,63.25,63.88,50.45,1006.09,967.94,996.53,714.42,3.83
2018-07-23 AM 8:00,60.24,63.47,65.11,50.96,1005.40,969.33,1007.98,727.22,4.09
2018-07-23 AM 9:00,62.16,64.69,67.11,53.09,1026.44,983.52,1026.65,750.02,4.35
2018-07-23 AM 10:00,64.53,65.41,69.25,54.36,1047.49,1001.09,1039.07,752.58,4.68
2018-07-23 AM 11:00,64.68,65.75,70.10,55.60,1051.92,1020.41,1048.58,786.73,4.3
2018-07-23 PM 12:00,64.78,65.61,70.55,54.74,1054.75,1025.42,1058.32,770.79,4.14
2018-07-23 PM 1:00,67.08,67.68,71.09,56.30,1082.20,1042.76,1068.72,783.11,4.37
2018-07-23 PM 2:00,69.13,68.71,71.49,57.27,1108.90,1034.39,1102.26,789.16,4.54
2018-07-23 PM 3:00,69.88,68.67,71.36,57.94,1125.93,959.42,1105.22,798.48,5.25
2018-07-23 PM 4:00,69.93,68.20,70.98,57.74,1112.75,956.67,1101.00,805.03,5.51
2018-07-23 PM 5:00,69.84,66.78,70.65,56.78,1109.44,957.93,1095.70,792.05,5.71
2018-07-23 PM 6:00,69.62,66.56,70.43,55.40,1115.19,969.49,1100.49,775.51,5.36
2018-07-23 PM 7:00,69.06,66.39,70.24,54.71,1106.42,986.38,1097.56,767.66,4.95
2018-07-23 PM 8:00,68.50,67.05,70.03,56.12,1097.60,1025.56,1099.78,785.13,4.81
2018-07-23 PM 9:00,67.10,65.63,67.20,54.06,1082.58,1016.81,1025.88,763.52,4.34
2018-07-23 PM 10:00,64.90,63.75,67.50,51.53,1052.58,982.67,1010.83,723.32,3.97
2018-07-23 PM 11:00,65.16,64.18,68.59,51.29,1064.89,986.53,1025.41,722.89,4.21
